tigrfam	mainrole	sub1role
TIGR01974	Energy metabolism	Electron transport
TIGR02911	Central intermediary metabolism	Sulfur metabolism
TIGR01145	Energy metabolism	ATP-proton motive force interconversion
TIGR01219	Central intermediary metabolism	Other
TIGR04389	Cell envelope	Other
TIGR00683	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02355	Biosynthesis of cofactors, prosthetic groups, and carriers	Molybdopterin
TIGR01730	Transport and binding proteins	Unknown substrate
TIGR01950	Cellular processes	Detoxification
TIGR01863	Unknown	Unknown
TIGR03144	Energy metabolism	Electron transport
TIGR03910	Amino acid biosynthesis	Other
TIGR00452	Unknown function	Enzymes of unknown specificity
TIGR00335	DNA metabolism	DNA replication, recombination, and repair
TIGR02392	Cellular processes	Adaptations to atypical conditions
TIGR00046	Protein synthesis	tRNA and rRNA base modification
TIGR03918	Protein fate	Protein modification and repair
TIGR00609	DNA metabolism	DNA replication, recombination, and repair
TIGR00773	Transport and binding proteins	Cations and iron carrying compounds
TIGR02292	Unknown function	General
TIGR03920	Protein fate	Protein and peptide secretion and trafficking
TIGR02639	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR02308	Mobile and extrachromosomal element functions	Prophage functions
TIGR03298	Cellular processes	Toxin production and resistance
TIGR04558	Unknown function	Enzymes of unknown specificity
TIGR00259	Protein fate	Protein folding and stabilization
TIGR01920	Amino acid biosynthesis	Aromatic amino acid family
TIGR01246	Amino acid biosynthesis	Aspartate family
TIGR00851	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR01635	Mobile and extrachromosomal element functions	Prophage functions
TIGR02400	Cellular processes	Adaptations to atypical conditions
TIGR01489	Central intermediary metabolism	Other
TIGR02596	Cell envelope	Surface structures
TIGR03410	Transport and binding proteins	Amino acids, peptides and amines
TIGR00156	Hypothetical proteins	Conserved
TIGR03971	Unknown function	Enzymes of unknown specificity
TIGR00186	Protein synthesis	tRNA and rRNA base modification
TIGR03707	Central intermediary metabolism	Phosphorus compounds
TIGR01075	DNA metabolism	DNA replication, recombination, and repair
TIGR02154	Regulatory functions	DNA interactions
TIGR03047	Energy metabolism	Photosynthesis
TIGR02397	DNA metabolism	DNA replication, recombination, and repair
TIGR02212	Protein fate	Protein and peptide secretion and trafficking
TIGR01149	Energy metabolism	Other
TIGR01940	Transport and binding proteins	Cations and iron carrying compounds
TIGR03489	Unknown	Unknown
TIGR00181	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR03594	Protein synthesis	Other
TIGR00990	Transport and binding proteins	Amino acids, peptides and amines
TIGR00013	Energy metabolism	Other
TIGR00612	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR01042	Transport and binding proteins	Cations and iron carrying compounds
TIGR03185	DNA metabolism	Restriction/modification
TIGR01862	Central intermediary metabolism	Nitrogen fixation
TIGR02227	Protein fate	Protein and peptide secretion and trafficking
TIGR00507	Amino acid biosynthesis	Aromatic amino acid family
TIGR03550	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR00255	Hypothetical proteins	Conserved
TIGR01582	Energy metabolism	Anaerobic
TIGR01305	Purines, pyrimidines, nucleosides, and nucleotides	Nucleotide and nucleoside interconversions
TIGR02165	Unknown	Unknown
TIGR01204	Biosynthesis of cofactors, prosthetic groups, and carriers	Biotin
TIGR03332	Amino acid biosynthesis	Aspartate family
TIGR03457	Central intermediary metabolism	Other
TIGR00506	Biosynthesis of cofactors, prosthetic groups, and carriers	Riboflavin, FMN, and FAD
TIGR03792	Unknown function	General
TIGR00571	DNA metabolism	DNA replication, recombination, and repair
TIGR03602	Cellular processes	Toxin production and resistance
TIGR01777	Hypothetical proteins	Conserved
TIGR04022	Central intermediary metabolism	Sulfur metabolism
TIGR04058	Central intermediary metabolism	Other
TIGR02195	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR00160	Energy metabolism	Other
TIGR02106	Energy metabolism	Electron transport
TIGR01021	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR00120	Amino acid biosynthesis	Glutamate family
TIGR00938	Amino acid biosynthesis	Aspartate family
TIGR01837	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR00901	Cellular processes	Adaptations to atypical conditions
TIGR03591	Transcription	Degradation of RNA
TIGR00940	Transport and binding proteins	Cations and iron carrying compounds
TIGR00419	Energy metabolism	Glycolysis/gluconeogenesis
TIGR02886	Regulatory functions	Protein interactions
TIGR00361	Cellular processes	DNA transformation
TIGR01805	Amino acid biosynthesis	Aromatic amino acid family
TIGR02149	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR01755	Energy metabolism	Electron transport
TIGR00719	Energy metabolism	Amino acids and amines
TIGR03691	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR00633	DNA metabolism	DNA replication, recombination, and repair
TIGR00010	Unknown function	Enzymes of unknown specificity
TIGR00515	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR01358	Amino acid biosynthesis	Aromatic amino acid family
TIGR01978	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR03607	Unknown function	General
TIGR01613	DNA metabolism	DNA replication, recombination, and repair
TIGR01815	Amino acid biosynthesis	Aromatic amino acid family
TIGR04429	Regulatory functions	Protein interactions
TIGR01831	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR00789	Unknown function	General
TIGR00594	DNA metabolism	DNA replication, recombination, and repair
TIGR04547	Cell envelope	Surface structures
TIGR00432	Protein synthesis	tRNA and rRNA base modification
TIGR00192	Central intermediary metabolism	Nitrogen metabolism
TIGR01307	Energy metabolism	Glycolysis/gluconeogenesis
TIGR03453	Mobile and extrachromosomal element functions	Plasmid functions
TIGR03049	Energy metabolism	Photosynthesis
TIGR00794	Transport and binding proteins	Cations and iron carrying compounds
TIGR01339	Energy metabolism	Photosynthesis
TIGR02931	Central intermediary metabolism	Nitrogen fixation
TIGR03066	Hypothetical proteins	Conserved
TIGR03857	Unknown function	Enzymes of unknown specificity
TIGR04459	Cellular processes	Adaptations to atypical conditions
TIGR01750	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR00415	Protein synthesis	tRNA aminoacylation
TIGR00498	DNA metabolism	DNA replication, recombination, and repair
TIGR03157	Unknown	Unknown
TIGR02688	Hypothetical proteins	Conserved
TIGR03039	Energy metabolism	Photosynthesis
TIGR01370	Unknown function	General
TIGR00031	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02126	Mobile and extrachromosomal element functions	Prophage functions
TIGR03780	Cellular processes	DNA transformation
TIGR02691	Cellular processes	Detoxification
TIGR00964	Protein fate	Protein and peptide secretion and trafficking
TIGR01865	Unknown	Unknown
TIGR00144	Unknown function	Enzymes of unknown specificity
TIGR02709	Energy metabolism	Amino acids and amines
TIGR02381	DNA metabolism	DNA replication, recombination, and repair
TIGR04518	Transport and binding proteins	Unknown substrate
TIGR03722	DNA metabolism	DNA replication, recombination, and repair
TIGR03688	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR01277	Transport and binding proteins	Other
TIGR00745	Biosynthesis of cofactors, prosthetic groups, and carriers	Pantothenate and coenzyme A
TIGR00857	Purines, pyrimidines, nucleosides, and nucleotides	Pyrimidine ribonucleotide biosynthesis
TIGR00063	Biosynthesis of cofactors, prosthetic groups, and carriers	Folic acid
TIGR00331	Regulatory functions	DNA interactions
TIGR02274	Purines, pyrimidines, nucleosides, and nucleotides	2'-Deoxyribonucleotide metabolism
TIGR00847	Energy metabolism	Electron transport
TIGR00363	Cell envelope	Other
TIGR01496	Biosynthesis of cofactors, prosthetic groups, and carriers	Folic acid
TIGR03012	Protein synthesis	tRNA and rRNA base modification
TIGR00245	Hypothetical proteins	Conserved
TIGR02662	Central intermediary metabolism	Nitrogen fixation
TIGR03395	Cellular processes	Pathogenesis
TIGR00635	DNA metabolism	DNA replication, recombination, and repair
TIGR03984	Unknown	Unknown
TIGR00714	Protein fate	Protein folding and stabilization
TIGR01586	Cellular processes	Pathogenesis
TIGR02648	DNA metabolism	DNA replication, recombination, and repair
TIGR01255	Energy metabolism	Fermentation
TIGR00093	Protein synthesis	tRNA and rRNA base modification
TIGR00035	Energy metabolism	Amino acids and amines
TIGR01722	Energy metabolism	Amino acids and amines
TIGR00257	Unknown function	General
TIGR02099	Hypothetical proteins	Conserved
TIGR01874	Unknown	Unknown
TIGR02113	Biosynthesis of cofactors, prosthetic groups, and carriers	Pantothenate and coenzyme A
TIGR02456	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR01124	Amino acid biosynthesis	Pyruvate family
TIGR02258	Transcription	RNA processing
TIGR02328	Hypothetical proteins	Conserved
TIGR00986	Transport and binding proteins	Amino acids, peptides and amines
TIGR00062	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR01988	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone
TIGR01782	Transport and binding proteins	Porins
TIGR01139	Amino acid biosynthesis	Serine family
TIGR04571	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02095	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR01228	Energy metabolism	Amino acids and amines
TIGR04425	Biosynthesis of cofactors, prosthetic groups, and carriers	Lipoate
TIGR03916	Unknown function	Enzymes of unknown specificity
TIGR01799	Amino acid biosynthesis	Aromatic amino acid family
TIGR02476	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR03488	Unknown	Unknown
TIGR00478	Unknown function	General
TIGR00896	Transport and binding proteins	Other
TIGR00746	Energy metabolism	Amino acids and amines
TIGR01326	Amino acid biosynthesis	Aspartate family
TIGR03810	Transport and binding proteins	Amino acids, peptides and amines
TIGR01583	Energy metabolism	Anaerobic
TIGR01712	Mobile and extrachromosomal element functions	Prophage functions
TIGR00749	Energy metabolism	Glycolysis/gluconeogenesis
TIGR00529	Hypothetical proteins	Conserved
TIGR00189	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR02378	Central intermediary metabolism	Nitrogen metabolism
TIGR00036	Amino acid biosynthesis	Aspartate family
TIGR00351	Energy metabolism	Anaerobic
TIGR00425	Protein synthesis	tRNA and rRNA base modification
TIGR03931	Protein fate	Protein and peptide secretion and trafficking
TIGR00388	Protein synthesis	tRNA aminoacylation
TIGR03331	Central intermediary metabolism	Polyamine biosynthesis
TIGR00243	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR00223	Biosynthesis of cofactors, prosthetic groups, and carriers	Pantothenate and coenzyme A
TIGR00664	DNA metabolism	DNA replication, recombination, and repair
TIGR03762	Protein fate	Protein and peptide secretion and trafficking
TIGR00841	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR02770	Transport and binding proteins	Cations and iron carrying compounds
TIGR03959	Regulatory functions	DNA interactions
TIGR00775	Transport and binding proteins	Cations and iron carrying compounds
TIGR01727	Transport and binding proteins	Amino acids, peptides and amines
TIGR03440	Biosynthesis of cofactors, prosthetic groups, and carriers	Glutathione and analogs
TIGR04377	Energy metabolism	Sugars
TIGR04397	Protein fate	Protein and peptide secretion and trafficking
TIGR02422	Energy metabolism	Other
TIGR00520	Energy metabolism	Amino acids and amines
TIGR04478	Unknown function	Enzymes of unknown specificity
TIGR03445	Cellular processes	Detoxification
TIGR01501	Energy metabolism	Amino acids and amines
TIGR03287	Energy metabolism	Methanogenesis
TIGR03432	Unknown function	Enzymes of unknown specificity
TIGR00897	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR04329	Unknown	Unknown
TIGR02339	Protein fate	Protein folding and stabilization
TIGR03427	Transport and binding proteins	Unknown substrate
TIGR01832	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR01732	Hypothetical proteins	Conserved
TIGR00735	Amino acid biosynthesis	Histidine family
TIGR00545	Protein fate	Protein modification and repair
TIGR01380	Biosynthesis of cofactors, prosthetic groups, and carriers	Glutathione and analogs
TIGR02216	Mobile and extrachromosomal element functions	Prophage functions
TIGR01119	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR01316	Amino acid biosynthesis	Glutamate family
TIGR03303	Protein fate	Protein and peptide secretion and trafficking
TIGR04000	Biosynthesis of cofactors, prosthetic groups, and carriers	Glutathione and analogs
TIGR00123	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR02474	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR01302	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis
TIGR01003	Signal transduction	PTS
TIGR01465	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR03216	Energy metabolism	Other
TIGR03666	Unknown function	Enzymes of unknown specificity
TIGR00122	Regulatory functions	DNA interactions
TIGR00669	Amino acid biosynthesis	Aspartate family
TIGR01999	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR02734	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR02077	Amino acid biosynthesis	Aspartate family
TIGR03746	Mobile and extrachromosomal element functions	Plasmid functions
TIGR00374	Unknown function	General
TIGR03960	Unknown function	Enzymes of unknown specificity
TIGR00886	Transport and binding proteins	Anions
TIGR01407	DNA metabolism	DNA replication, recombination, and repair
TIGR02014	Energy metabolism	Photosynthesis
TIGR00166	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR01314	Energy metabolism	Sugars
TIGR00604	DNA metabolism	DNA replication, recombination, and repair
TIGR01551	Mobile and extrachromosomal element functions	Prophage functions
TIGR03592	Protein fate	Protein and peptide secretion and trafficking
TIGR03698	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR00834	Transport and binding proteins	Anions
TIGR02525	Mobile and extrachromosomal element functions	Plasmid functions
TIGR02614	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR00304	Hypothetical proteins	Conserved
TIGR01915	Energy metabolism	Electron transport
TIGR02219	Mobile and extrachromosomal element functions	Prophage functions
TIGR01202	Biosynthesis of cofactors, prosthetic groups, and carriers	Chlorophyll and bacteriochlorphyll
TIGR03598	Protein synthesis	Other
TIGR01059	DNA metabolism	DNA replication, recombination, and repair
TIGR02544	Protein fate	Protein and peptide secretion and trafficking
TIGR02547	Unknown	Unknown
TIGR00823	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR02223	Cellular processes	Cell division
TIGR02205	Cellular processes	Cell division
TIGR01025	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR01178	Purines, pyrimidines, nucleosides, and nucleotides	Salvage of nucleosides and nucleotides
TIGR03772	Transport and binding proteins	Unknown substrate
TIGR02497	Protein fate	Protein and peptide secretion and trafficking
TIGR00225	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR00466	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR03690	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR02644	Purines, pyrimidines, nucleosides, and nucleotides	Other
TIGR01870	Unknown	Unknown
TIGR03692	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR02031	Biosynthesis of cofactors, prosthetic groups, and carriers	Chlorophyll and bacteriochlorphyll
TIGR01772	Energy metabolism	TCA cycle
TIGR01298	Transcription	RNA processing
TIGR00872	Energy metabolism	Pentose phosphate pathway
TIGR02034	Central intermediary metabolism	Sulfur metabolism
TIGR02839	Cellular processes	Sporulation and germination
TIGR00368	Unknown function	General
TIGR01780	Central intermediary metabolism	Other
TIGR01776	Transport and binding proteins	Cations and iron carrying compounds
TIGR02056	Biosynthesis of cofactors, prosthetic groups, and carriers	Chlorophyll and bacteriochlorphyll
TIGR03798	Cellular processes	Biosynthesis of natural products
TIGR00312	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR00505	Biosynthesis of cofactors, prosthetic groups, and carriers	Riboflavin, FMN, and FAD
TIGR00788	Cell envelope	Other
TIGR01283	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR00763	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR01936	Transport and binding proteins	Cations and iron carrying compounds
TIGR02848	Cellular processes	Sporulation and germination
TIGR02722	Cell envelope	Other
TIGR04413	Unknown	Unknown
TIGR00048	Protein synthesis	tRNA and rRNA base modification
TIGR00761	Amino acid biosynthesis	Glutamate family
TIGR00920	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR03224	Energy metabolism	Other
TIGR01035	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR02221	Unknown	Unknown
TIGR03667	Unknown function	Enzymes of unknown specificity
TIGR03651	Cellular processes	Toxin production and resistance
TIGR03409	Transport and binding proteins	Amino acids, peptides and amines
TIGR02048	Biosynthesis of cofactors, prosthetic groups, and carriers	Glutathione and analogs
TIGR01618	Mobile and extrachromosomal element functions	Prophage functions
TIGR01632	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR02752	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone
TIGR03618	Unknown function	Enzymes of unknown specificity
TIGR01884	Regulatory functions	DNA interactions
TIGR00777	Cellular processes	Detoxification
TIGR02828	Transport and binding proteins	Unknown substrate
TIGR02965	Purines, pyrimidines, nucleosides, and nucleotides	Other
TIGR00261	Unknown function	General
TIGR00551	Biosynthesis of cofactors, prosthetic groups, and carriers	Pyridine nucleotides
TIGR00178	Energy metabolism	TCA cycle
TIGR00323	Protein synthesis	Translation factors
TIGR03750	Mobile and extrachromosomal element functions	Plasmid functions
TIGR02577	Unknown	Unknown
TIGR04344	Biosynthesis of cofactors, prosthetic groups, and carriers	Glutathione and analogs
TIGR00005	Protein synthesis	tRNA and rRNA base modification
TIGR01378	Biosynthesis of cofactors, prosthetic groups, and carriers	Thiamine
TIGR01998	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR00595	DNA metabolism	DNA replication, recombination, and repair
TIGR01771	Energy metabolism	Anaerobic
TIGR01695	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR02041	Central intermediary metabolism	Sulfur metabolism
TIGR00797	Transport and binding proteins	Other
TIGR01760	Mobile and extrachromosomal element functions	Prophage functions
TIGR01383	Unknown function	General
TIGR01719	Purines, pyrimidines, nucleosides, and nucleotides	Salvage of nucleosides and nucleotides
TIGR01802	Amino acid biosynthesis	Aromatic amino acid family
TIGR01244	Hypothetical proteins	Conserved
TIGR01977	Unknown function	Enzymes of unknown specificity
TIGR01147	Energy metabolism	ATP-proton motive force interconversion
TIGR01910	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR01625	Transport and binding proteins	Unknown substrate
TIGR02892	Cellular processes	Sporulation and germination
TIGR02498	Cellular processes	Pathogenesis
TIGR03637	Unknown	Unknown
TIGR02416	Energy metabolism	Other
TIGR01994	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR01340	Energy metabolism	TCA cycle
TIGR02564	Unknown	Unknown
TIGR00820	Transport and binding proteins	Cations and iron carrying compounds
TIGR00254	Regulatory functions	Small molecule interactions
TIGR03911	Amino acid biosynthesis	Other
TIGR00517	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR00646	Unknown function	General
TIGR02426	Energy metabolism	Other
TIGR02846	Transcription	Transcription factors
TIGR02499	Protein fate	Protein and peptide secretion and trafficking
TIGR02972	Energy metabolism	Anaerobic
TIGR01034	Central intermediary metabolism	Other
TIGR02037	Protein fate	Protein folding and stabilization
TIGR01098	Transport and binding proteins	Anions
TIGR00303	Hypothetical proteins	Conserved
TIGR00006	Protein synthesis	tRNA and rRNA base modification
TIGR00258	Purines, pyrimidines, nucleosides, and nucleotides	Other
TIGR02214	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR03407	Transport and binding proteins	Amino acids, peptides and amines
TIGR01112	Transport and binding proteins	Cations and iron carrying compounds
TIGR02192	Hypothetical proteins	Conserved
TIGR01134	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis
TIGR00868	Transport and binding proteins	Anions
TIGR00460	Protein synthesis	tRNA aminoacylation
TIGR02646	Hypothetical proteins	Conserved
TIGR00020	Protein synthesis	Translation factors
TIGR00230	Energy metabolism	Sugars
TIGR00439	Cellular processes	Cell division
TIGR00373	Transcription	Transcription factors
TIGR00458	Protein synthesis	tRNA aminoacylation
TIGR01215	Cellular processes	Cell division
TIGR03184	DNA metabolism	Restriction/modification
TIGR02015	Energy metabolism	Photosynthesis
TIGR00935	Cellular processes	Detoxification
TIGR00601	DNA metabolism	DNA replication, recombination, and repair
TIGR01333	Energy metabolism	Photosynthesis
TIGR00827	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR02107	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR02273	Transcription	RNA processing
TIGR04568	Protein synthesis	tRNA and rRNA base modification
TIGR01334	Unknown function	General
TIGR00463	Protein synthesis	tRNA aminoacylation
TIGR00893	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR03821	Protein fate	Protein modification and repair
TIGR00383	Transport and binding proteins	Cations and iron carrying compounds
TIGR03938	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02885	Transcription	Transcription factors
TIGR02121	Transport and binding proteins	Amino acids, peptides and amines
TIGR03642	Unknown	Unknown
TIGR00631	DNA metabolism	DNA replication, recombination, and repair
TIGR00523	Protein synthesis	Translation factors
TIGR00305	Cellular processes	Other
TIGR01234	Energy metabolism	Sugars
TIGR00785	Transport and binding proteins	Anions
TIGR00274	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR02593	Unknown	Unknown
TIGR00157	Protein synthesis	Translation factors
TIGR01072	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR00647	Cellular processes	Cell division
TIGR02120	Protein fate	Protein and peptide secretion and trafficking
TIGR03183	DNA metabolism	Restriction/modification
TIGR00016	Energy metabolism	Fermentation
TIGR00988	DNA metabolism	DNA replication, recombination, and repair
TIGR03975	Cellular processes	Toxin production and resistance
TIGR03643	Hypothetical proteins	Conserved
TIGR00677	Biosynthesis of cofactors, prosthetic groups, and carriers	Folic acid
TIGR02315	Transport and binding proteins	Anions
TIGR01535	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR01826	Hypothetical proteins	Conserved
TIGR03654	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR04443	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR01954	Transcription	Transcription factors
TIGR03007	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR03096	Energy metabolism	Electron transport
TIGR04064	Cellular processes	Toxin production and resistance
TIGR01540	Mobile and extrachromosomal element functions	Prophage functions
TIGR02845	Cellular processes	Sporulation and germination
TIGR01209	Transcription	RNA processing
TIGR00651	Central intermediary metabolism	Other
TIGR01855	Amino acid biosynthesis	Histidine family
TIGR04378	Energy metabolism	Sugars
TIGR03797	Transport and binding proteins	Amino acids, peptides and amines
TIGR00399	Protein synthesis	tRNA aminoacylation
TIGR02156	Energy metabolism	Other
TIGR00231	Unknown function	General
TIGR01816	Energy metabolism	TCA cycle
TIGR00263	Amino acid biosynthesis	Aromatic amino acid family
TIGR00174	Protein synthesis	tRNA and rRNA base modification
TIGR00556	Protein fate	Protein modification and repair
TIGR00379	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR00283	Protein synthesis	Other
TIGR02118	Hypothetical proteins	Conserved
TIGR01273	Central intermediary metabolism	Polyamine biosynthesis
TIGR03554	Energy metabolism	Pentose phosphate pathway
TIGR01889	Regulatory functions	DNA interactions
TIGR03557	Unknown function	Enzymes of unknown specificity
TIGR00546	Protein fate	Protein modification and repair
TIGR02697	Mobile and extrachromosomal element functions	Other
TIGR03919	Protein fate	Protein and peptide secretion and trafficking
TIGR00082	Transcription	RNA processing
TIGR03957	Protein fate	Protein modification and repair
TIGR01808	Amino acid biosynthesis	Aromatic amino acid family
TIGR02044	Regulatory functions	DNA interactions
TIGR01018	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR02012	DNA metabolism	DNA replication, recombination, and repair
TIGR01172	Amino acid biosynthesis	Serine family
TIGR03860	Unknown function	Enzymes of unknown specificity
TIGR04371	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02858	Cellular processes	Sporulation and germination
TIGR00654	Cellular processes	Toxin production and resistance
TIGR03703	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR01289	Biosynthesis of cofactors, prosthetic groups, and carriers	Chlorophyll and bacteriochlorphyll
TIGR02550	Cellular processes	Chemotaxis and motility
TIGR01842	Protein fate	Protein and peptide secretion and trafficking
TIGR03870	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR04003	Protein fate	Protein modification and repair
TIGR03352	Protein fate	Protein and peptide secretion and trafficking
TIGR02359	Transport and binding proteins	Other
TIGR04328	Unknown	Unknown
TIGR01725	Mobile and extrachromosomal element functions	Prophage functions
TIGR02379	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR03565	Central intermediary metabolism	Sulfur metabolism
TIGR01347	Energy metabolism	TCA cycle
TIGR02491	Purines, pyrimidines, nucleosides, and nucleotides	2'-Deoxyribonucleotide metabolism
TIGR02240	Energy metabolism	Other
TIGR00394	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR00105	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR00971	Transport and binding proteins	Anions
TIGR00252	Hypothetical proteins	Conserved
TIGR01024	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR02837	Cellular processes	Sporulation and germination
TIGR02622	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02595	Cell envelope	Surface structures
TIGR02933	Central intermediary metabolism	Nitrogen fixation
TIGR03731	Cellular processes	Toxin production and resistance
TIGR00530	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR03998	Biosynthesis of cofactors, prosthetic groups, and carriers	Glutathione and analogs
TIGR00581	Biosynthesis of cofactors, prosthetic groups, and carriers	Molybdopterin
TIGR01387	Regulatory functions	DNA interactions
TIGR04384	Energy metabolism	Amino acids and amines
TIGR03036	Energy metabolism	Amino acids and amines
TIGR01723	Energy metabolism	Methanogenesis
TIGR03132	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR01367	Purines, pyrimidines, nucleosides, and nucleotides	Pyrimidine ribonucleotide biosynthesis
TIGR03864	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR00608	DNA metabolism	DNA replication, recombination, and repair
TIGR00862	Transport and binding proteins	Anions
TIGR00378	Transport and binding proteins	Cations and iron carrying compounds
TIGR02574	Mobile and extrachromosomal element functions	Other
TIGR01342	Energy metabolism	TCA cycle
TIGR03485	Unknown	Unknown
TIGR01499	Biosynthesis of cofactors, prosthetic groups, and carriers	Folic acid
TIGR01875	Regulatory functions	DNA interactions
TIGR02670	Unknown	Unknown
TIGR00413	Cell envelope	Other
TIGR02018	Energy metabolism	Amino acids and amines
TIGR02045	Energy metabolism	Glycolysis/gluconeogenesis
TIGR00270	Hypothetical proteins	Conserved
TIGR01103	Cellular processes	Chemotaxis and motility
TIGR01810	Cellular processes	Adaptations to atypical conditions
TIGR02225	DNA metabolism	DNA replication, recombination, and repair
TIGR02789	Transport and binding proteins	Cations and iron carrying compounds
TIGR02401	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR04448	Central intermediary metabolism	Nitrogen metabolism
TIGR01292	Energy metabolism	Electron transport
TIGR01849	Fatty acid and phospholipid metabolism	Degradation
